label,c1,c2,c3
pis,0.5502953791907831,0.42938726591156273,0.02031735489765417
Class-4-753_0,0.018662705258536468,0.016002430587167816,0.108225633659238
Class-32-486,0.0381995969876924,0.011986761531174032,0.005773167493261361
Class-9-599_0,0.9546906180787712,0.9602692469582166,0.4198645701932624
Class-0-593_70,0.10489958604741237,0.36577482723922394,0.437253501485037
Class-41-591,0.009736260139738561,0.005240239270567816,0.0319295996173503
Class-31-780_6,0.007426892555597481,0.00812936989520278,0.07702977881205177
Class-24-596_54,0.04288437923778752,0.014175999890398435,0.07588537686568458
Class-36-788_30,0.009873564560425808,0.013058430973474183,0.04868092077349195
