label,c1,c2,c3
pis,0.03460066055885513,0.8551051054943803,0.11029423394676457
Class-4-753_0,0.1671438480731539,0.02073375697731354,0.2488043405057575
Class-32-486,0.02908493112785339,0.006494794760640727,0.048337227652763555
Class-9-599_0,0.23794436646661385,0.019368979000169057,0.04778605720115324
Class-0-593_70,0.1791881285704811,0.04427730032428358,0.1189365781432311
Class-41-591,0.2779472188019109,0.07862184247216965,0.20826704302498578
Class-31-780_6,0.08184425666974111,0.020132678199247828,0.06769771088356034
Class-24-596_54,0.38240830574971385,0.015795347322240534,0.07959163554309644
Class-36-788_30,0.34475329419019046,0.9974016408282674,0.8942364168148059
